domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
search.usgs.gov,3809,3809,3809,1,0,3809
specsintact.ksc.nasa.gov,3047,388512,2285,127.5063997,558.7778142,3047
professionalstandards.fns.usda.gov,3047,58658,4571,19.25106662,454.0226452,4571
nasai.usajobs.gov,3047,49516,3047,16.25073843,706.7850345,3047
origin3.studentaid.ed.gov,3047,48754,762,16.00065638,3741.43551,3047
str.fas.gsa.gov,3047,38851,1524,12.75057434,340.5169019,4571
seafoodinspection.nmfs.noaa.gov,3047,33519,3047,11.00065638,303.0150968,3047
stereo-ssc.nascom.nasa.gov,3047,31995,3047,10.50049229,422.0210043,2285
indexcat.nlm.nih.gov,3047,29710,762,9.750574335,369.2684608,2285
ed.ecpic.gov,3047,26663,762,8.750574335,1740.586479,3047
studyabroad.state.gov,3047,24377,3047,8.000328192,166.7581227,3809
marinecadastre.gov,3047,22092,3047,7.25041024,126.7561536,3047
autochoice.fas.gsa.gov,3047,21330,3047,7.000328192,241.511979,3809
fleet.fas.gsa.gov,3047,20568,1524,6.750246144,248.7623892,3047
nativeonestop.gov,3047,17521,2285,5.750246144,120.2559895,3047
oea.gov,3047,17521,3047,5.750246144,106.0052511,3047
marsprogram.jpl.nasa.gov,3047,17521,6094,5.750246144,2.500164096,4571
grace.jpl.nasa.gov,3047,16759,3047,5.500164096,242.0121431,3047
pt.usembassy.gov,3047,14474,3809,4.750246144,44.00229734,3809
api.data.gov,3047,12950,3047,4.250082048,107.7554972,2285
gsi.nist.gov,3047,11427,1524,3.750246144,502.0249426,3047
ssaichicago.usajobs.gov,3047,11427,2285,3.750246144,92.75451264,3047
mt.usembassy.gov,3047,10665,1524,3.500164096,754.7873318,3047
huntington.va.gov,3047,10665,4571,3.500164096,28.75155891,4571
dcmo.defense.gov,3047,9141,2285,3,951.5470955,3047
t.cdc.gov,3047,9141,4571,3,397.7696095,3047
lovingsupport.fns.usda.gov,3047,9141,2285,3,55.00262553,3047
coralreefwatch.noaa.gov,3047,9141,3809,3,53.75254349,3047
spacescience.arc.nasa.gov,3047,9141,3047,3,36.50180505,3047
fea.gov,3047,8380,3047,2.750246144,255.7627174,3047
tuscaloosa.va.gov,3047,7618,3047,2.500164096,118.0059074,3047
zh-reg.usps.com,3047,7618,3047,2.500164096,65.25336396,3809
visn6.va.gov,3047,7618,762,2.500164096,50.00262553,3047
inss.ndu.edu,3047,7618,3047,2.500164096,36.00164096,3809
www2.cdc.gov,3047,7618,3809,2.500164096,13.25073843,3809
ss.usembassy.gov,3047,6856,2285,2.250082048,262.5129636,2285
hearing.health.mil,3047,6856,1524,2.250082048,196.7597637,3047
spanish.panama.usembassy.gov,3047,6856,3047,2.250082048,170.008533,3047
postdocs.jpl.nasa.gov,3047,6856,1524,2.250082048,73.75352806,3047
women.nasa.gov,3047,6856,2285,2.250082048,49.50246144,3047
researchtraining.nih.gov,3047,6856,2285,2.250082048,39.50180505,4571
cms.fta.dot.gov,3047,6856,3047,2.250082048,38.50180505,3047
topeka.va.gov,3047,6094,3047,2,381.268789,3047
humansubjects.nih.gov,3047,6094,2285,2,240.0118149,3047
fresc.usgs.gov,3047,6094,2285,2,172.258615,3047
northernindiana.va.gov,3047,6094,1524,2,101.0049229,3047
buoybay.noaa.gov,3047,6094,762,2,49.50246144,3047
salem.va.gov,3047,6094,3047,2,41.00196915,3809
usgcb.nist.gov,3047,6094,3047,2,31.50147686,3047
eagnmncom1c28.usps.com,3047,6094,3047,2,10.75057434,3047
feb.gov,3047,6094,3047,2,8.750574335,3047
ibwc.state.gov,3047,5333,1524,1.750246144,240.511979,3047
concessions.nps.gov,3047,5333,1524,1.750246144,90.50443059,3047
ia.water.usgs.gov,3047,5333,1524,1.750246144,83.25402035,3047
archive.usgs.gov,3047,5333,3047,1.750246144,25.50114867,3047
metallurgy.nist.gov,3047,5333,3047,1.750246144,23.25106662,3047
ntlsearch.bts.gov,3047,5333,3047,1.750246144,20.50114867,3047
oaa.army.mil,3047,5333,2285,1.750246144,5.000328192,3047
directorsblog.blogs.census.gov,3047,4571,2285,1.500164096,324.2661634,2285
medicalservicecorps.amedd.army.mil,3047,4571,3047,1.500164096,154.0075484,2285
m.gsa.gov,3047,4571,3047,1.500164096,138.5067279,3809
goes.gsfc.nasa.gov,3047,4571,2285,1.500164096,85.00426649,3047
frc-grants.arc.nasa.gov,3047,4571,3047,1.500164096,83.25402035,3047
beta.fec.gov,3047,4571,3047,1.500164096,44.50213325,2285
cco.ndu.edu,3047,4571,3047,1.500164096,20.00098457,3047
siouxfalls.va.gov,3047,4571,3047,1.500164096,13.25073843,3047
gams.nist.gov,3047,4571,3047,1.500164096,3.250082048,3047
edison.jobcorps.gov,3047,3809,1524,1.250082048,304.0150968,1524
blogs.bls.gov,3047,3809,3809,1.250082048,140.5070561,762
singapore.usembassy.gov,3047,3809,2285,1.250082048,125.2563177,3047
es-holdmail.usps.com,3047,3809,3047,1.250082048,108.7554972,3047
tools.cdc.gov,3047,3809,3047,1.250082048,86.75418444,3047
search.stopbullying.gov,3047,3809,3047,1.250082048,66.25336396,3047
afterdeployment.dcoe.mil,3047,3809,2285,1.250082048,63.50311782,2285
pa.water.usgs.gov,3047,3809,2285,1.250082048,29.00131277,3047
skyview.gsfc.nasa.gov,3047,3809,3047,1.250082048,25.50114867,3047
aura.gsfc.nasa.gov,3047,3809,3047,1.250082048,17.75090253,3047
nowcoast.noaa.gov,3047,3809,762,1.250082048,14.25073843,3047
boise.va.gov,3047,3809,3047,1.250082048,12.50049229,3047
